Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
09/18/2020 05,28.3,38.1,8283
09/18/2020 06,30.83,38.1,8447
09/18/2020 07,32.05,38.11,8796
09/18/2020 08,33.85,38.11,9131
09/18/2020 09,33.84,38.11,9251
09/18/2020 10,33.84,38.11,9378
09/18/2020 11,34.73,38.11,9458
09/18/2020 12,34.67,38.11,9496
09/18/2020 13,38.13,38.1,9523
09/18/2020 14,38.98,38.09,9539
09/18/2020 15,38.85,37.86,9545
09/18/2020 16,37.23,37.52,9496
09/18/2020 17,36.39,36.63,9469
09/18/2020 18,37.43,35.69,9399
09/18/2020 19,37.31,35.38,9222
09/18/2020 20,34.58,35.37,9178
09/18/2020 21,34.51,35.37,9251
09/18/2020 22,33.11,35.36,9060
09/18/2020 23,31.21,35.36,8812
09/18/2020 24,31.88,35.37,8535
09/19/2020 01,31.17,35.37,8353
09/19/2020 02,30.53,35.37,8228
09/19/2020 03,29.74,35.37,8192
09/19/2020 04,30.58,35.37,8168
09/19/2020 05,30.32,35.38,8160
09/19/2020 06,27.52,35.37,8189
09/19/2020 07,28.5,35.37,8346
09/19/2020 08,29.87,35.37,8507
09/19/2020 09,30.63,35.37,8702
09/19/2020 10,33.38,35.36,8878
09/19/2020 11,34.51,35.35,8985
09/19/2020 12,34.57,35.34,9033
09/19/2020 13,34.63,35.34,9091
09/19/2020 14,35.29,35.33,9106
09/19/2020 15,35.62,35.33,9084
09/19/2020 16,37.03,35.33,9105
09/19/2020 17,37.3,35.32,9206
09/19/2020 18,37.01,35.33,9233
09/19/2020 19,37.1,35.34,9166
09/19/2020 20,36.79,35.35,9142
09/19/2020 21,35.34,35.36,9143
09/19/2020 22,34.56,35.37,9021
09/19/2020 23,34.57,35.4,8784
09/19/2020 24,32.57,35.41,8534
09/20/2020 01,31.43,35.43,8366
09/20/2020 02,30.15,35.43,8260
09/20/2020 03,29.79,35.44,8179
09/20/2020 04,30.17,35.45,8137
09/20/2020 05,29.16,35.45,8144
09/20/2020 06,30,35.46,8202
09/20/2020 07,31.07,35.46,8287
09/20/2020 08,33.48,35.46,8401
09/20/2020 09,34.65,35.47,8621
09/20/2020 10,34.72,35.47,8795
09/20/2020 11,34.54,35.47,8979
09/20/2020 12,34.62,35.46,9154
09/20/2020 13,35.22,35.46,9179
09/20/2020 14,33.04,35.45,9183
09/20/2020 15,35.18,35.44,9173
09/20/2020 16,35.07,35.41,9228
09/20/2020 17,36.13,35.4,9332
09/20/2020 18,37.88,35.4,9452
09/20/2020 19,37.93,35.4,9341
09/20/2020 20,37.83,35.4,9295
09/20/2020 21,37.78,35.41,9340
09/20/2020 22,36.34,35.41,9146
09/20/2020 23,32.79,35.41,8839
09/20/2020 24,30.05,35.41,8529
09/21/2020 01,29.09,35.41,8324
09/21/2020 02,29.02,35.41,8191
09/21/2020 03,28.22,35.41,8109
09/21/2020 04,29.2,35.41,8102
09/21/2020 05,30.63,35.41,8150
09/21/2020 06,30.91,35.42,8286
09/21/2020 07,31.19,35.43,8616
09/21/2020 08,31.68,35.44,8877
09/21/2020 09,31.86,35.44,9053
09/21/2020 10,34,35.46,9209
09/21/2020 11,35.31,35.47,9322
09/21/2020 12,36.61,35.48,9502
09/21/2020 13,37.9,35.49,9578
09/21/2020 14,38,35.5,9548
09/21/2020 15,36.99,35.51,9507
09/21/2020 16,37.85,35.52,9530
09/21/2020 17,37.88,35.53,9608
09/21/2020 18,38.17,35.53,9571
09/21/2020 19,38.37,35.53,9411
09/21/2020 20,37.71,35.54,9349
09/21/2020 21,37.34,35.55,9342
09/21/2020 22,36.13,35.56,9120
09/21/2020 23,30.36,35.56,8811
09/21/2020 24,29.9,35.56,8525
09/22/2020 01,30.63,35.57,8299
09/22/2020 02,29.48,35.57,8208
09/22/2020 03,29.36,35.57,8128
09/22/2020 04,29.83,35.57,8116
09/22/2020 05,30.17,35.57,8088
09/22/2020 06,34.78,35.58,8225
09/22/2020 07,34.62,35.59,8587
09/22/2020 08,36.51,35.6,9026
09/22/2020 09,37.4,35.61,9219
09/22/2020 10,38.26,35.62,9342
09/22/2020 11,38.39,35.62,9380
09/22/2020 12,38.49,35.63,9442
09/22/2020 13,40.87,35.64,9487
09/22/2020 14,46.4,35.65,9490
09/22/2020 15,41.59,35.66,9473
09/22/2020 16,38.98,35.67,9544
09/22/2020 17,95.85,35.75,9536
09/22/2020 18,157.3,35.92,9492
09/22/2020 19,48.06,35.94,9276
09/22/2020 20,36.1,35.95,9294
09/22/2020 21,35.15,35.95,9335
09/22/2020 22,35.2,35.96,9140
09/22/2020 23,34.13,35.96,8849
09/22/2020 24,33.91,35.97,8556
09/23/2020 01,31.55,35.98,8361
09/23/2020 02,29.44,35.99,8256
09/23/2020 03,29.41,36,8178
09/23/2020 04,28.84,36,8104
09/23/2020 05,27.22,36,8140
09/23/2020 06,29.06,36.01,8309
09/23/2020 07,30.18,36.01,8687
09/23/2020 08,31.14,36.02,9013
09/23/2020 09,31.1,36.03,9154
09/23/2020 10,33.91,36.03,9256
09/23/2020 11,32.81,36.03,9301
09/23/2020 12,30.03,36.03,9422
09/23/2020 13,30.59,36.03,9507
09/23/2020 14,30.81,36.02,9547
09/23/2020 15,32.1,36.02,9555
09/23/2020 16,33.56,36.02,9526
09/23/2020 17,33.26,36.01,9566
09/23/2020 18,34.06,36.01,9529
09/23/2020 19,33.81,36.01,9356
09/23/2020 20,35.23,36.01,9445
09/23/2020 21,35.26,36.02,9445
09/23/2020 22,34.11,36.03,9198
09/23/2020 23,30.4,36.04,8862
09/23/2020 24,30.05,36.05,8541
09/24/2020 01,29.35,36.06,8370
09/24/2020 02,29.53,36.07,8261
09/24/2020 03,29.57,36.07,8192
09/24/2020 04,26,36.08,8185
09/24/2020 05,24.63,36.08,8241
09/24/2020 06,27.98,36.09,8366
09/24/2020 07,31.02,36.09,8706
09/24/2020 08,32.15,36.1,9050
09/24/2020 09,33.19,36.11,9196
09/24/2020 10,33.26,36.11,9322
09/24/2020 11,35.82,36.11,9487
09/24/2020 12,36.36,36.11,9583
09/24/2020 13,36.38,36.11,9572
09/24/2020 14,37.66,36.11,9566
09/24/2020 15,37.44,36.11,9513
09/24/2020 16,33.99,36.1,9525
09/24/2020 17,34.02,36.08,9564
09/24/2020 18,32.86,36.07,9535
09/24/2020 19,33.74,36.07,9365
09/24/2020 20,30.98,36.06,9361
09/24/2020 21,31.93,36.06,9361
09/24/2020 22,28.17,36.05,9118
09/24/2020 23,28.88,36.05,8787
09/24/2020 24,25.7,36.04,8489
09/25/2020 01,24.99,36.04,8287
09/25/2020 02,25.3,36.04,8217
09/25/2020 03,25.65,36.05,8179
09/25/2020 04,27.86,36.05,8187
09/25/2020 05,27.45,36.06,8220
09/25/2020 06,29.92,36.08,8365
09/25/2020 07,31,36.08,8751
09/25/2020 08,33.45,36.09,9143
09/25/2020 09,34,36.1,9287
09/25/2020 10,33.96,36.1,9349
09/25/2020 11,34.51,36.1,9474
09/25/2020 12,33.28,36.1,9574
09/25/2020 13,33.37,36.09,9560
09/25/2020 14,33.82,36.08,9566
09/25/2020 15,33.35,36.08,9521
09/25/2020 16,33.3,36.05,9481
09/25/2020 17,33.39,36.02,9454
09/25/2020 18,33.27,35.91,9442
09/25/2020 19,33.28,35.87,9319
09/25/2020 20,35.06,35.86,9340
09/25/2020 21,36.28,35.86,9343
09/25/2020 22,36.06,35.86,9181
09/25/2020 23,34.1,35.86,8889
09/25/2020 24,31.85,35.86,8587
09/26/2020 01,30.15,35.86,8367
09/26/2020 02,26.55,35.86,8178
09/26/2020 03,24.7,35.85,8102
09/26/2020 04,22.53,35.84,8074
09/26/2020 05,21.92,35.83,8103
09/26/2020 06,23.73,35.82,8184
09/26/2020 07,24.17,35.81,8344
09/26/2020 08,27.64,35.81,8543
09/26/2020 09,30.47,35.8,8664
09/26/2020 10,33.23,35.8,8827
09/26/2020 11,35.75,35.8,8942
09/26/2020 12,33.39,35.8,9005
09/26/2020 13,33.97,35.8,9004
09/26/2020 14,31.31,35.78,8985
09/26/2020 15,29.91,35.73,8988
09/26/2020 16,29.89,35.52,8963
09/26/2020 17,29.93,35.46,9013
09/26/2020 18,33.01,35.31,9009
09/26/2020 19,30.47,35.3,8849
09/26/2020 20,29.96,35.29,8885
09/26/2020 21,30.45,35.28,8942
09/26/2020 22,30.04,35.27,8786
09/26/2020 23,29.61,35.27,8550
09/26/2020 24,28.58,35.26,8318
09/27/2020 01,27.14,35.25,8138
09/27/2020 02,24.87,35.25,8040
09/27/2020 03,24.84,35.24,8013
09/27/2020 04,25.75,35.23,8010
09/27/2020 05,28.61,35.23,8029
09/27/2020 06,29.89,35.23,8072
09/27/2020 07,30.45,35.24,8100
09/27/2020 08,30.49,35.24,8212
09/27/2020 09,33.27,35.23,8390
09/27/2020 10,35.97,35.24,8576
09/27/2020 11,36.29,35.24,8704
09/27/2020 12,38.17,35.24,8817
09/27/2020 13,36.2,35.24,8862
09/27/2020 14,33.91,35.24,8845
09/27/2020 15,32.04,35.24,8855
09/27/2020 16,36.18,35.24,8907
09/27/2020 17,36.52,35.23,9032
09/27/2020 18,38.68,35.24,9114
09/27/2020 19,38.69,35.24,9039
09/27/2020 20,39.35,35.25,9126
09/27/2020 21,40.06,35.26,9174
09/27/2020 22,38.83,35.27,8985
09/27/2020 23,37.73,35.28,8726
09/27/2020 24,37.16,35.29,8434
09/28/2020 01,32.25,35.3,8212
09/28/2020 02,30.55,35.31,8129
09/28/2020 03,30.47,35.32,8105
09/28/2020 04,30.27,35.34,8129
09/28/2020 05,29.64,35.34,8143
09/28/2020 06,29.35,35.35,8269
09/28/2020 07,30.87,35.36,8667
09/28/2020 08,33.2,35.39,9143
09/28/2020 09,33.33,35.42,9335
09/28/2020 10,35.27,35.43,9453
09/28/2020 11,38.72,35.45,9486
09/28/2020 12,38.66,35.48,9495
09/28/2020 13,38.59,35.5,9504
09/28/2020 14,37.97,35.52,9482
09/28/2020 15,36,35.53,9440
09/28/2020 16,33.66,35.54,9469
09/28/2020 17,36.43,35.55,9510
09/28/2020 18,31.43,35.54,9498
09/28/2020 19,31.91,35.54,9346
09/28/2020 20,30.14,35.54,9474
